nct_id,start_year,duration,num_facilities,has_us_facility,minimum_age_years,maximum_age_years,is_cancer,enrolled,droprate,num_dropped
NCT01424228,2011,18.0,60.0,False,18.0,,False,364,0.28296703296703296,103.0
NCT01475214,2011,35.0,1.0,True,60.0,,False,244,0.045081967213114756,11.0
NCT01011933,2009,77.0,72.0,True,18.0,,False,54,0.07407407407407407,4.0
NCT00400569,2006,61.0,1.0,True,18.0,,True,48,0.020833333333333332,1.0
NCT01780389,2013,9.0,1.0,True,18.0,,False,5,0.2,1.0
NCT01697696,2012,25.0,61.0,True,40.0,,False,511,0.18395303326810175,94.0
NCT00334113,2006,39.0,1.0,True,18.0,,False,89,0.056179775280898875,5.0
NCT01184118,2010,23.0,1.0,True,18.0,65.0,False,36,0.5,18.0
NCT00244751,2005,28.0,121.0,True,40.0,70.0,False,265,0.15471698113207547,41.0
NCT00586846,2007,68.0,1.0,True,,,True,40,0.15,6.0
NCT01270464,2010,31.0,89.0,True,12.0,75.0,False,315,0.15873015873015872,50.0
NCT01160770,2010,75.0,,,2.0,60.0,False,267,0.2958801498127341,79.0
NCT01862484,2013,19.0,1.0,True,9.0,12.0,False,40,0.25,10.0
NCT00979654,2009,55.0,29.0,True,18.0,99.0,False,118,0.3050847457627119,36.0
NCT02099838,2014,23.0,1.0,False,18.0,70.0,False,98,0.061224489795918366,6.0
NCT01628692,2012,13.0,26.0,True,18.0,,False,230,0.15217391304347827,35.0
NCT01029535,2009,27.0,1.0,False,30.0,60.0,False,103,0.30097087378640774,31.0
NCT00391807,2006,21.0,66.0,True,18.0,45.0,False,1683,0.42483660130718953,715.0
NCT01556763,2012,4.0,1.0,True,18.0,55.0,False,21,0.047619047619047616,1.0
NCT01442675,2011,9.0,15.0,True,15.0,55.0,False,834,0.014388489208633094,12.0
NCT01479868,2011,22.0,32.0,True,18.0,70.0,False,109,0.08256880733944955,9.0
NCT02105454,2014,12.0,,,18.0,,False,79,0.012658227848101266,1.0
NCT00608842,2008,9.0,7.0,True,18.0,65.0,True,62,0.08064516129032258,5.0
NCT00141518,2005,60.0,,,18.0,99.0,False,77,0.36363636363636365,28.0
NCT00388505,2006,37.0,72.0,True,6.0,,False,517,0.23404255319148937,121.0
NCT01688726,2012,11.0,,,18.0,,False,91,0.02197802197802198,2.0
NCT00764478,2008,25.0,,,18.0,,False,367,0.1226158038147139,45.0
NCT00996736,2009,27.0,3.0,True,16.0,,False,323,0.12074303405572756,39.0
NCT00624065,2008,5.0,76.0,True,18.0,80.0,False,348,0.1235632183908046,43.0
NCT00536510,2007,11.0,,,18.0,70.0,False,646,0.17182662538699692,111.0
NCT01083771,2010,19.0,1.0,True,18.0,,True,21,0.23809523809523808,5.0
NCT01323387,2011,61.0,,,18.0,,False,178,0.47191011235955055,84.0
NCT01827839,2013,8.0,4.0,False,50.0,,False,96,0.03125,3.0
NCT00345540,2006,22.0,2.0,True,18.0,,True,15,0.06666666666666667,1.0
NCT00667576,2008,11.0,12.0,False,20.0,,False,153,0.06535947712418301,10.0
NCT00390221,2006,39.0,57.0,False,18.0,55.0,False,621,0.0853462157809984,53.0
NCT02017015,2013,17.0,15.0,False,18.0,,False,83,0.8313253012048193,69.0
